epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
101,18.698166,7.41421047e-03,7.58410397e-03,9.52069071e-03,1.00358545e-02,4.94215928e-04,3.49601832e-05,8.22251552e-04,3.73077269e-05,5.00000000e-04
102,17.905383,7.34998017e-03,7.51493806e-03,7.53728240e-03,7.62779560e-03,4.83584077e-04,3.47323652e-05,5.02645117e-04,3.65089607e-05,5.00000000e-04
103,18.228268,7.26145614e-03,7.41431671e-03,8.48669207e-03,8.75419699e-03,4.68876849e-04,3.43672646e-05,6.33135733e-04,3.76190822e-05,5.00000000e-04
104,17.571070,7.13525677e-03,7.30560297e-03,7.92365705e-03,8.17568470e-03,4.54652282e-04,3.42869683e-05,5.69400584e-04,3.53716408e-05,5.00000000e-04
105,17.157703,7.51614475e-03,7.72642416e-03,8.38117141e-03,8.71739855e-03,5.03558476e-04,3.38775740e-05,6.27235579e-04,3.51138476e-05,5.00000000e-04
106,17.240452,7.68696156e-03,7.90313472e-03,1.15173048e-02,1.23401341e-02,5.32103263e-04,3.39556224e-05,1.20601995e-03,3.74703192e-05,5.00000000e-04
107,17.201668,7.92797334e-03,8.19240379e-03,7.66901329e-03,7.89662514e-03,5.68004598e-04,3.38859364e-05,5.31152770e-04,3.76104187e-05,5.00000000e-04
108,17.220157,7.08942864e-03,7.27446154e-03,7.24424949e-03,7.40168883e-03,4.48248332e-04,3.35382460e-05,4.74907269e-04,3.43407301e-05,5.00000000e-04
109,17.213255,7.52077731e-03,7.74206604e-03,6.81194498e-03,6.93540387e-03,5.02259732e-04,3.33469413e-05,4.23602626e-04,3.49988211e-05,5.00000000e-04
110,17.272024,7.07712777e-03,7.26193969e-03,7.18951955e-03,7.37237707e-03,4.46197386e-04,3.31191710e-05,4.66992789e-04,3.46906031e-05,5.00000000e-04
111,17.196867,8.00007441e-03,8.29939000e-03,9.26055436e-03,9.60797701e-03,5.83578610e-04,3.28695664e-05,7.78693952e-04,3.38604211e-05,5.00000000e-04
112,17.121960,9.53565488e-03,9.97144563e-03,8.95711501e-03,9.23297595e-03,8.19331084e-04,3.34628169e-05,7.07732224e-04,3.53290934e-05,5.00000000e-04
113,18.328893,8.90697374e-03,9.30095083e-03,8.79376355e-03,9.10205137e-03,7.17219360e-04,3.32810134e-05,7.02118753e-04,3.79069792e-05,5.00000000e-04
114,18.968683,8.55142004e-03,8.85567722e-03,9.33502774e-03,9.87123340e-03,6.49558027e-04,3.28220978e-05,7.85720239e-04,3.41529943e-05,5.00000000e-04
115,19.109420,8.17449573e-03,8.48753573e-03,1.11330868e-02,1.17658995e-02,5.97117078e-04,3.28408159e-05,1.07984457e-03,3.52957055e-05,5.00000000e-04
116,18.053464,7.95151554e-03,8.26149185e-03,1.12883815e-02,1.22635294e-02,5.65916357e-04,3.24473667e-05,1.21388066e-03,3.42135867e-05,5.00000000e-04
117,17.525018,1.31680716e-02,1.39666964e-02,1.07762031e-02,1.11961707e-02,1.68628191e-03,3.41004467e-05,1.00343172e-03,3.46880117e-05,5.00000000e-04
118,17.318062,8.73985214e-03,9.07266590e-03,7.87291118e-03,8.05756018e-03,6.80758225e-04,3.24537137e-05,5.26868715e-04,3.40259149e-05,5.00000000e-04
119,17.348885,8.50792010e-03,8.85373974e-03,8.27255368e-03,8.46695594e-03,6.52691370e-04,3.24019110e-05,5.92206529e-04,3.40155158e-05,5.00000000e-04
120,17.229375,8.05269552e-03,8.33773655e-03,7.64538368e-03,7.87570840e-03,5.78092643e-04,3.22545128e-05,5.19370518e-04,3.38247849e-05,5.00000000e-04
121,17.295212,8.82154232e-03,9.19619372e-03,9.42281637e-03,9.74259630e-03,7.00803488e-04,3.25236513e-05,7.58660230e-04,3.45258550e-05,5.00000000e-04
122,17.264976,8.30308024e-03,8.60246261e-03,8.66207717e-03,9.03473999e-03,6.09296258e-04,3.22319417e-05,6.71488632e-04,3.37407341e-05,5.00000000e-04
123,17.148519,7.93470286e-03,8.21280127e-03,8.03427895e-03,8.23492480e-03,5.61281230e-04,3.19610941e-05,5.71762020e-04,3.26666091e-05,5.00000000e-04
124,17.250764,8.78152293e-03,9.15279033e-03,8.75375629e-03,9.00092270e-03,7.08322328e-04,3.19623140e-05,6.68959381e-04,3.25745600e-05,5.00000000e-04
125,17.958681,9.88171093e-03,1.04131431e-02,1.20812931e-02,1.22604638e-02,9.04263788e-04,3.18876875e-05,1.16897283e-03,3.49831203e-05,5.00000000e-04
126,17.889814,9.08725578e-03,9.51671028e-03,9.24475759e-03,9.59308092e-03,7.58585708e-04,3.16209535e-05,7.56440946e-04,3.19573245e-05,5.00000000e-04
127,17.160251,9.34241507e-03,9.80256215e-03,7.78048299e-03,8.11291358e-03,8.10792909e-04,3.19631353e-05,5.57192008e-04,3.23446043e-05,5.00000000e-04
128,18.069945,8.41627924e-03,8.77030199e-03,1.00278627e-02,1.06466448e-02,6.58297212e-04,3.15747756e-05,9.18085969e-04,3.28915496e-05,5.00000000e-04
129,18.134245,7.83147349e-03,8.11291259e-03,9.40245494e-03,9.77001656e-03,5.46167044e-04,3.10687628e-05,7.49201712e-04,3.43339740e-05,5.00000000e-04
130,17.174727,7.84936959e-03,8.10830704e-03,8.35921688e-03,8.62087149e-03,5.42606552e-04,3.11720977e-05,6.05428325e-04,3.29328635e-05,5.00000000e-04
131,17.187408,8.83277247e-03,9.22307758e-03,8.25632714e-03,8.41561334e-03,6.99191040e-04,3.10926406e-05,5.84157645e-04,3.28220971e-05,5.00000000e-04
132,17.198906,9.36247879e-03,9.81803950e-03,7.94696585e-03,8.22584424e-03,8.01218321e-04,3.15671385e-05,5.88871766e-04,3.24134726e-05,5.00000000e-04
133,17.148800,8.63108859e-03,9.01720424e-03,8.63602739e-03,9.08678278e-03,6.67356715e-04,3.11323120e-05,6.70923290e-04,3.21170203e-05,5.00000000e-04
134,17.183042,8.51139342e-03,8.86184850e-03,7.34561854e-03,7.62202432e-03,6.49902984e-04,3.11739971e-05,4.90405642e-04,3.28131515e-05,5.00000000e-04
135,18.047071,8.39337968e-03,8.73850213e-03,1.03016134e-02,1.11025849e-02,6.34108000e-04,3.14132830e-05,1.02493103e-03,3.36838899e-05,5.00000000e-04
136,17.858516,9.87369396e-03,1.04630437e-02,8.50775968e-03,8.69165383e-03,9.09846401e-04,3.12018754e-05,6.15327772e-04,3.27657386e-05,5.00000000e-04
137,17.969707,8.91492029e-03,9.27721108e-03,8.56075537e-03,8.87582496e-03,7.10835858e-04,3.09892773e-05,6.51888516e-04,3.22205917e-05,5.00000000e-04
138,17.377714,7.53347396e-03,7.77866485e-03,7.29392549e-03,7.39941202e-03,5.00940792e-04,3.06482557e-05,4.57924748e-04,3.23591102e-05,5.00000000e-04
139,17.238961,8.40872893e-03,8.77772180e-03,8.64758458e-03,8.92613005e-03,6.41292691e-04,3.04001743e-05,6.75721242e-04,3.20030559e-05,5.00000000e-04
140,17.881104,8.20360874e-03,8.49683525e-03,8.06514646e-03,8.40794545e-03,5.95353312e-04,3.05605699e-05,5.78239298e-04,3.23166141e-05,5.00000000e-04
141,17.654791,7.64149725e-03,7.92129050e-03,8.46751884e-03,8.93470246e-03,5.24024957e-04,3.00446935e-05,6.50926074e-04,3.13294926e-05,5.00000000e-04
142,17.977211,8.41569757e-03,8.81841054e-03,9.42410675e-03,9.70465466e-03,6.41657282e-04,3.01301485e-05,7.41649774e-04,3.19461887e-05,5.00000000e-04
143,17.055236,7.58559812e-03,7.87149390e-03,9.31955143e-03,9.89513788e-03,5.13306081e-04,2.97395560e-05,7.76623971e-04,3.06627793e-05,5.00000000e-04
144,17.322695,9.13724544e-03,9.58410601e-03,7.99502298e-03,8.23729672e-03,7.61719395e-04,3.07444562e-05,5.61575664e-04,3.16560932e-05,5.00000000e-04
145,17.741506,9.65645492e-03,1.01878205e-02,7.67347284e-03,7.89055265e-03,8.44124743e-04,3.02508965e-05,5.23621344e-04,3.16660543e-05,5.00000000e-04
146,17.437496,7.89781418e-03,8.19435161e-03,8.49941498e-03,8.84366475e-03,5.51482076e-04,2.98236137e-05,6.40261041e-04,3.18658059e-05,5.00000000e-04
147,17.621831,7.56444331e-03,7.84435154e-03,8.13139792e-03,8.34973551e-03,5.08086437e-04,2.97298774e-05,5.65548532e-04,3.09514513e-05,5.00000000e-04
148,17.287986,9.63934227e-03,1.00894627e-02,8.76399469e-03,9.02025584e-03,8.37021667e-04,3.04935974e-05,6.78665936e-04,3.13569371e-05,5.00000000e-04
149,17.204201,7.75225609e-03,8.03974102e-03,8.15471541e-03,8.57521258e-03,5.33438227e-04,2.97386409e-05,6.06573603e-04,3.08970347e-05,5.00000000e-04
150,17.107952,7.80770454e-03,8.15987008e-03,8.80704439e-03,9.25722603e-03,5.46781030e-04,2.95217091e-05,6.88445829e-04,3.10373605e-05,5.00000000e-04
151,17.563935,8.96621308e-03,9.43133904e-03,9.46668072e-03,9.94927559e-03,7.30672256e-04,2.98138048e-05,8.04452506e-04,3.12648992e-05,5.00000000e-04
152,17.732324,9.02585430e-03,9.46188239e-03,9.80572721e-03,1.04235316e-02,7.64509761e-04,2.98539017e-05,8.72387385e-04,3.12737918e-05,5.00000000e-04
