epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
113,5.171967,1.01349722e+00,7.33065463e-01,1.01309853e+00,1.01503993e+00,1.72539435e+04,3.08173834e+02,1.59418228e+04,2.91092057e+02,5.00000000e-04
114,5.199203,1.01517440e+00,7.34304691e-01,1.01331093e+00,1.01525349e+00,1.72919087e+04,3.06953576e+02,1.59519763e+04,2.90767226e+02,5.00000000e-04
115,5.119691,1.01520737e+00,7.34327288e-01,1.01328778e+00,1.01522303e+00,1.72686074e+04,3.05952650e+02,1.59510710e+04,2.90329954e+02,5.00000000e-04
116,4.948847,1.01521160e+00,7.34331420e-01,1.01323219e+00,1.01516844e+00,1.73782091e+04,3.07704308e+02,1.59489145e+04,2.89911082e+02,5.00000000e-04
117,5.133863,1.01521660e+00,7.34336139e-01,1.01324998e+00,1.01519356e+00,1.73045936e+04,3.06878476e+02,1.59508355e+04,2.89361607e+02,5.00000000e-04
118,4.903635,1.01516191e+00,7.34293235e-01,1.01323405e+00,1.01517790e+00,1.73271926e+04,3.05784223e+02,1.59480113e+04,2.88810363e+02,5.00000000e-04
119,4.825447,1.01513873e+00,7.34275364e-01,1.01318837e+00,1.01513444e+00,1.74278143e+04,3.07690158e+02,1.59484328e+04,2.88320582e+02,5.00000000e-04
120,4.822084,1.01505842e+00,7.34214458e-01,1.01313974e+00,1.01508199e+00,1.72052165e+04,3.02758605e+02,1.59444131e+04,2.88073734e+02,5.00000000e-04
121,4.910457,1.01494060e+00,7.34126662e-01,1.01229732e+00,1.01416860e+00,1.73047612e+04,3.04418176e+02,1.59267390e+04,2.87627885e+02,5.00000000e-04
122,4.883993,1.01100271e+00,7.31015962e-01,1.00791856e+00,1.00934373e+00,1.71469198e+04,3.01545898e+02,1.57934721e+04,2.84807890e+02,5.00000000e-04
123,4.890552,1.01059651e+00,7.30678125e-01,1.01026672e+00,1.01189030e+00,1.72432834e+04,3.01492635e+02,1.58543435e+04,2.84644097e+02,5.00000000e-04
124,4.821412,1.01254669e+00,7.32201924e-01,1.01075536e+00,1.01242237e+00,1.72354664e+04,3.01765360e+02,1.58633775e+04,2.84343008e+02,5.00000000e-04
125,4.826831,1.01233946e+00,7.32046398e-01,1.01057114e+00,1.01222716e+00,1.71087029e+04,2.99223215e+02,1.58569474e+04,2.84126154e+02,5.00000000e-04
126,4.902035,1.01232710e+00,7.32037297e-01,1.01046975e+00,1.01212957e+00,1.72663247e+04,3.00492038e+02,1.58573984e+04,2.83881585e+02,5.00000000e-04
