epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
90,34.457862,9.57748367e-02,7.34516663e-02,8.34960243e-02,8.80774061e-02,1.46246661e-01,1.17264404e-02,1.35979296e-01,9.50441316e-03,1.00000000e-03
91,34.449701,9.37219156e-02,7.18648754e-02,1.42923511e-01,1.51305128e-01,1.55408189e-01,1.18757873e-02,1.45215738e-01,9.30700732e-03,1.00000000e-03
92,34.410403,9.54768678e-02,7.32764024e-02,7.90856787e-02,8.39872283e-02,1.48777419e-01,1.16784644e-02,1.27962557e-01,9.21620094e-03,1.00000000e-03
93,33.791357,9.25896406e-02,7.09706979e-02,1.18291831e-01,1.26639079e-01,1.42842710e-01,1.15573171e-02,1.23254704e-01,9.47013560e-03,1.00000000e-03
94,34.356097,1.02893858e-01,7.93944351e-02,1.00584080e-01,1.06497038e-01,1.52678126e-01,1.17849931e-02,1.29487106e-01,1.02489461e-02,1.00000000e-03
95,34.500187,9.34240093e-02,7.13231867e-02,9.11947383e-02,9.77897942e-02,1.51817497e-01,1.18354869e-02,1.31476276e-01,9.96358508e-03,1.00000000e-03
96,34.534634,9.93605785e-02,7.60417992e-02,1.51448669e-01,1.61390024e-01,1.51119523e-01,1.20414508e-02,1.84742780e-01,1.00286800e-02,1.00000000e-03
97,34.318712,9.37516587e-02,7.16779373e-02,7.90125647e-02,8.42270781e-02,1.52913995e-01,1.16897340e-02,1.36652474e-01,1.01899196e-02,1.00000000e-03
98,34.557503,9.21039781e-02,7.06187250e-02,6.44800108e-02,6.80656565e-02,1.37896559e-01,1.13786000e-02,1.26688010e-01,9.18376389e-03,1.00000000e-03
99,34.450530,1.07937291e-01,8.26876883e-02,1.61646944e-01,1.72053301e-01,1.44827921e-01,1.14799527e-02,1.48906532e-01,9.84064853e-03,5.00000000e-04
